Sensor Name,Date,Value,Formatted Value,Signal Strength,Voltage
Temperature - 888581,09/14/2022 3:24 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 3:14 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 3:04 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 2:54 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 2:44 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 2:34 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 2:24 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 2:14 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 2:04 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 1:54 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 1:44 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 1:34 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 1:24 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 1:14 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 1:04 PM,23.3,23.3° C,100,2.62
Temperature - 888581,09/14/2022 12:54 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 12:44 PM,23.3,23.3° C,100,2.6
Temperature - 888581,09/14/2022 12:34 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 12:24 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 12:14 PM,23.4,23.4° C,100,2.62
Temperature - 888581,09/14/2022 12:04 PM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 11:54 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 11:44 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 11:34 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 11:24 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 11:14 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 11:04 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 10:54 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 10:44 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 10:34 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 10:24 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 10:14 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 10:04 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 9:54 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 9:44 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 9:34 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 9:24 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 9:14 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 9:04 AM,23.5,23.5° C,100,2.62
Temperature - 888581,09/14/2022 8:54 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 8:44 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 8:34 AM,23.6,23.6° C,100,2.62
Temperature - 888581,09/14/2022 8:24 AM,23.7,23.7° C,100,2.62
Temperature - 888581,09/14/2022 8:14 AM,23.7,23.7° C,100,2.62
Temperature - 888581,09/14/2022 8:04 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 7:54 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 7:44 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 7:34 AM,23.7,23.7° C,100,2.62
Temperature - 888581,09/14/2022 7:24 AM,23.7,23.7° C,100,2.62
Temperature - 888581,09/14/2022 7:14 AM,23.8,23.8° C,100,2.62
Temperature - 888581,09/14/2022 7:04 AM,23.8,23.8° C,100,2.62
